frame	ulx	uly	urx	ury	lrx	lry	llx	lly
frame00001.jpg	354.00	501.00	536.00	485.00	560.00	521.00	355.00	540.00
frame00002.jpg	353.99	500.97	536.03	485.12	559.99	521.04	354.92	539.91
frame00003.jpg	354.00	500.97	536.03	485.12	560.00	521.04	354.92	539.91
frame00004.jpg	353.98	500.96	536.03	485.12	559.99	521.04	354.91	539.92
frame00005.jpg	354.01	500.97	536.05	485.11	560.02	521.04	354.97	539.90
frame00006.jpg	353.99	500.97	536.04	485.12	559.97	521.04	354.96	539.90
frame00007.jpg	353.98	500.96	536.04	485.11	559.98	521.04	354.93	539.91
frame00008.jpg	353.99	500.96	536.03	485.12	559.99	521.04	354.92	539.92
frame00009.jpg	354.01	500.95	536.04	485.11	560.00	521.05	354.93	539.91
frame00010.jpg	354.02	500.96	536.05	485.11	559.99	521.04	354.95	539.90
frame00011.jpg	354.01	500.97	536.04	485.12	560.01	521.04	354.94	539.90
frame00012.jpg	353.96	500.95	536.03	485.12	559.98	521.05	354.94	539.90
frame00013.jpg	354.02	500.97	536.05	485.11	560.00	521.04	355.00	539.89
frame00014.jpg	354.02	500.97	536.05	485.11	560.02	521.04	354.96	539.90
frame00015.jpg	353.98	500.96	536.05	485.11	559.97	521.05	354.96	539.91
frame00016.jpg	353.98	500.97	536.04	485.12	559.98	521.04	354.91	539.92
frame00017.jpg	353.98	500.97	536.04	485.11	560.01	521.04	354.93	539.91
frame00018.jpg	354.01	500.97	536.05	485.11	560.02	521.05	354.93	539.91
frame00019.jpg	353.99	500.97	536.05	485.12	559.99	521.04	354.95	539.91
frame00020.jpg	354.01	500.96	536.05	485.11	560.00	521.05	354.94	539.91
frame00021.jpg	353.99	500.96	536.04	485.11	559.97	521.04	354.93	539.92
frame00022.jpg	353.99	500.96	536.02	485.13	559.99	521.04	354.93	539.90
frame00023.jpg	354.01	500.96	536.05	485.11	560.00	521.04	354.95	539.90
frame00024.jpg	354.00	500.95	536.04	485.11	559.99	521.05	354.94	539.90
frame00025.jpg	353.98	500.96	536.05	485.11	559.96	521.04	354.95	539.90
frame00026.jpg	354.03	500.96	536.06	485.11	559.99	521.04	354.95	539.90
frame00027.jpg	354.02	500.96	536.06	485.11	559.98	521.04	354.91	539.90
frame00028.jpg	354.00	500.96	536.05	485.12	560.00	521.03	354.93	539.90
frame00029.jpg	354.01	500.96	536.03	485.12	560.03	521.04	354.93	539.90
frame00030.jpg	354.01	500.94	536.04	485.11	559.96	521.04	354.95	539.90
frame00031.jpg	354.00	500.96	536.06	485.11	560.00	521.05	354.96	539.89
frame00032.jpg	354.03	500.96	536.04	485.12	560.01	521.05	354.90	539.90
frame00033.jpg	354.00	500.95	536.06	485.11	559.97	521.04	354.93	539.89
frame00034.jpg	354.01	500.95	536.06	485.12	559.98	521.05	354.94	539.89
frame00035.jpg	353.99	500.95	536.05	485.12	559.98	521.03	354.92	539.89
frame00036.jpg	354.01	500.95	536.06	485.11	559.99	521.04	354.91	539.90
frame00037.jpg	353.99	500.95	536.06	485.11	559.97	521.04	354.93	539.89
frame00038.jpg	353.99	500.96	536.05	485.11	559.98	521.04	354.94	539.90
frame00039.jpg	354.03	500.94	536.05	485.11	559.99	521.05	354.94	539.89
frame00040.jpg	354.03	500.95	536.04	485.12	560.01	521.04	354.90	539.90
frame00041.jpg	354.00	500.95	536.04	485.12	560.00	521.04	354.89	539.90
frame00042.jpg	354.03	500.95	536.04	485.11	560.02	521.04	354.90	539.90
frame00043.jpg	354.01	500.95	536.05	485.11	559.98	521.03	354.92	539.89
frame00044.jpg	354.01	500.95	536.04	485.13	559.99	521.05	354.94	539.89
frame00045.jpg	354.01	500.96	536.04	485.12	559.99	521.04	354.92	539.89
frame00046.jpg	354.01	500.96	536.05	485.13	560.02	521.04	354.89	539.89
frame00047.jpg	354.01	500.95	536.06	485.13	559.98	521.04	354.89	539.90
frame00048.jpg	353.99	500.95	536.03	485.12	559.97	521.04	354.95	539.90
frame00049.jpg	354.06	500.97	536.02	485.10	560.06	521.04	354.93	539.92
frame00050.jpg	354.03	500.97	536.03	485.04	560.05	521.01	354.92	539.98
frame00051.jpg	354.04	500.97	536.01	485.01	560.07	521.00	354.91	539.99
frame00052.jpg	354.06	500.97	536.00	485.01	560.10	521.00	354.92	539.99
